排名,标题,评论数量,推荐率,出版社,作者,出版时间,价格,标题链接,
178,在细雨中呼喊（余华活着许三观卖血记兄弟文城长篇代表作之一作家...,137842,100%,作家出版社,余华,2017/9/12,¥21.40,http://product.dangdang.com/25160767.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说']"
179,我与地坛（纪念版）,268586,99.80%,人民文学出版社,史铁生,2011/6/1,¥16.50,http://product.dangdang.com/21055821.html,"['所属分类：', '图书', '>', '文学', '>', '中国现当代随笔']"
180,小狗钱钱（套装2册）（附赠免费亲子财商课+理财秘籍思维导图）,230690,100%,中信出版社,博多·舍费尔,2021/12/10,¥60.00,http://product.dangdang.com/29343067.html,"['所属分类：', '图书', '>', '童书', '>', '少儿励志与成长', '>', '自我管理', '图书', '>', '童书', '>', '7-10岁', '>', '励志/成长']"
181,写给儿童的中国历史（中国孩子的历史启蒙，真正写给孩子看的中国...,984251,99.80%,新世界出版社,陈卫平著 步印童书 出品,2014/4/1,¥347.90,http://product.dangdang.com/23427436.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '传记文学', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '历史故事']"
182,果麦经典：人类群星闪耀时（小米之父雷军、易中天、冯唐推荐！茨...,59151,100%,上海文艺出版社,斯蒂芬·茨威格，译者：姜乙， 果麦文化 出品,2019/7/1,¥49.00,http://product.dangdang.com/27892638.html,"['所属分类：', '图书', '>', '传记', '>', '历史人物']"
183,小鸡球球触感玩具书:全5册（升级点读版，纸板书、触摸发声书、翻...,424807,99.90%,新星出版社,作绘者：[日]入山 智  译者：崔维燕,2022/1/18,¥318.50,http://product.dangdang.com/29353542.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '成长/校园小说', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '开学必备']"
184,人间词话（王国维先生的代表作，近代较富盛名的词话著作）,578820,99.90%,北京联合出版公司,王国维　著,2015/6/1,¥22.40,http://product.dangdang.com/23715237.html,"['所属分类：', '图书', '>', '童书', '>', '婴儿读物', '>', '认知书', '图书', '>', '童书', '>', '0-2岁', '>', '益智/游戏']"
185,山月记（如果你很迷茫！自我拉扯！一定要读《山月记》。日本文豪...,179800,99.90%,三秦出版社,（日）中岛敦，译者 徐建雄，绘者 撒旦君，果麦文化 出品,2019/2/1,¥45.00,http://product.dangdang.com/26514431.html,"['所属分类：', '图书', '>', '文学', '>', '中国古诗词']"
186,皮特猫·3~6岁好性格养成书：第二辑（共6册）（自信、豁达、友善...,300182,100%,文汇出版社,(美）金柏莉·迪安与詹姆斯·迪安著； 读客文化 出品,2018/6/3,¥139.90,http://product.dangdang.com/25280799.html,"['所属分类：', '图书', '>', '小说', '>', '外国小说', '>', '日本']"
187,放学后（东野圭吾成名作）,334454,100%,南海出版公司,〔日〕东野圭吾 著，新经典 出品,2017/9/1,¥45.00,http://product.dangdang.com/25154615.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '平装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '品格培养']"
188,趣说中国史：如果把中国422位皇帝放在一个群里，他们会聊些什么？...,196190,100%,台海出版社,趣哥 著,2020/11/1,¥49.80,http://product.dangdang.com/29151341.html,"['所属分类：', '图书', '>', '小说', '>', '侦探/悬疑/推理小说']"
189,第七天（2018版）,494428,99.80%,新星出版社,余华,2018/8/1,¥27.20,http://product.dangdang.com/25314250.html,"['所属分类：', '图书', '>', '历史', '>', '历史普及读物', '>', '中国古代史']"
190,夏洛的网(2020版）（三年级阅读经典书目）,1120490,99.30%,上海译文出版社,（美）怀特　著，任溶溶　译,2014/8/1,¥25.50,http://product.dangdang.com/28533668.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说']"
191,见识城邦·人类简史：从动物到上帝（新版）,731452,99.90%,中信出版社,[以色列] 尤瓦尔·赫拉利（Yuval Noah Harari）,2017/1/1,¥49.00,http://product.dangdang.com/24186019.html,"['所属分类：', '图书', '>', '童书', '>', '外国儿童文学', '>', '童话故事', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '开学必备']"
192,爱，需要学习（为中国式亲密关系度身定制的实践指南，心理学者陈...,11600,100%,新星出版社,陈海贤 著，得到图书 出品,2022/1/5,¥41.91,http://product.dangdang.com/29338142.html,"['所属分类：', '图书', '>', '历史', '>', '世界史', '>', '世界通史']"
193,绝叫（罗翔推荐，长达四十年的恶女编年史，日本文学社会派推理小...,54717,99.90%,北京联合出版有限公司,叶真中显 著 林佩瑾 译 联合读创 出品,2020/7/1,¥58.00,http://product.dangdang.com/28992227.html,"['所属分类：', '图书', '>', '心理学', '>', '积极心理学']"
194,西游记幼儿美绘本（全10册）,68542,99.90%,少年儿童出版社,吕进 改编，吴家晔  贾雄虎 绘，海豚传媒 出品,2018/5/1,¥195.00,http://product.dangdang.com/25276987.html,"['所属分类：', '图书', '>', '小说', '>', '侦探/悬疑/推理小说']"
195,不可思议的文明奇迹 涵盖历史地理多学科领域 精装版,8448,100%,石油工业出版社,郭子林,2022/3/1,¥37.50,http://product.dangdang.com/29346297.html,"['所属分类：', '图书', '>', '童书', '>', '幼儿启蒙', '>', '图画故事', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '经典必读']"
196,美国儿科学会育儿百科（第7版）,396560,100%,北京科学技术出版社,美) 塔尼娅·奥尔特曼,2020/12/1,¥64.80,http://product.dangdang.com/29133667.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '3-6岁', '>', '科普/百科']"
197,万历十五年 一本好书 腾讯视频栏目推荐,803867,99.40%,生活.读书.新知三联书店,黄仁宇,2006/6/1,¥15.60,http://product.dangdang.com/23445575.html,"['所属分类：', '图书', '>', '历史', '>', '历史随笔', '图书', '>', '文化', '>', '传统文化', '>', '其他']"
198,边城（沈从文代表作）,193544,100%,中国友谊出版公司,沈从文,2019/4/1,¥29.40,http://product.dangdang.com/26922459.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说']"
199,博物馆寻宝记 藏在国宝中的文物简史 精装版,8848,100%,石油工业出版社,王露,2022/3/1,¥37.50,http://product.dangdang.com/29346298.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '3-6岁', '>', '科普/百科']"
200,早起的奇迹,45414,100%,广东人民出版社,[美]哈尔·埃尔罗德（Hal Elrod）；易伊 译；中资海派  出品,2018/2/1,¥37.80,http://product.dangdang.com/25229707.html,"['所属分类：', '图书', '>', '成功/励志', '>', '成功/激励', '>', '激励']"
201,大侦探福尔摩斯（第1辑）（全6册）,156176,100%,湖北教育出版社,柯南·道尔 著；厉河 编；余远锽 绘；海豚传媒出品,2018/2/1,¥111.70,http://product.dangdang.com/25224595.html,"['所属分类：', '图书', '>', '童书', '>', '外国儿童文学', '>', '侦探/冒险小说', '图书', '>', '童书', '>', '7-10岁', '>', '文学']"
202,给男孩的情绪管理绘本（套装全5册）,46507,99.90%,青岛出版社,乐凡 段张取艺,2021/3/1,¥90.00,http://product.dangdang.com/29206161.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '中国原创', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '情绪管理']"
203,米小圈脑筋急转弯（第一辑）（套装共4册）,632367,95.20%,四川少年儿童出版社,北猫,2016/1/1,¥62.70,http://product.dangdang.com/23878838.html,"['所属分类：', '图书', '>', '童书', '>', '益智游戏', '>', '脑筋急转弯', '图书', '>', '童书', '>', '3-6岁', '>', '益智游戏', '图书', '>', '童书', '>', '开学必备']"
204,优势谈判（两任美国总统首席谈判顾问罗杰·道森代表作）,47045,99.60%,北京联合出版有限公司,罗杰·道森,2022/1/20,¥34.00,http://product.dangdang.com/29372319.html,"['所属分类：', '图书', '>', '管理', '>', '一般管理学', '>', '管理学']"
205,2021新版 点点点（小黄和小蓝升级版）宝宝视觉锻炼 杜莱大师作品...,116867,100%,海豚出版社,[法]埃尔维·杜莱,2021/3/1,¥49.80,http://product.dangdang.com/29193831.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '亲子共读']"
206,大卫，不可以——1998年《纽约时报》年度最佳图画书  美国凯迪克...,334588,92.50%,河北教育出版社,文/图：〔美〕大卫·香农David Shannon,2019/4/8,¥30.00,http://product.dangdang.com/27913762.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '幼小衔接']"
207,动物农场（乔治·奥威尔经典的讽喻之作 ，也译“动物庄园”，后附...,73152,100%,时代文艺出版社,〔英〕乔治·奥威尔 著，姜希颖 译,2018/3/1,¥21.40,http://product.dangdang.com/25229341.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说']"
208,有故事的汉字 第1辑（全3册）,175514,99.80%,青岛出版社,邱昭瑜,2015/1/6,¥60.00,http://product.dangdang.com/23629505.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '传统文化', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '开学必备']"
209,我们时代的神经症人格（精装插画版）（人人都有病。焦虑的现代人...,9973,100%,上海文化出版社,[德]卡伦·霍妮，译者 郑世彦，果麦文化 出品,2021/3/1,¥49.80,http://product.dangdang.com/29224345.html,"['所属分类：', '图书', '>', '心理学', '>', '心灵疗愈']"
210,全球最美的100个地方 图说天下 国家地理,344790,99.90%,北京联合出版公司,<图说天下.国家地理系列>编委会,2012/6/1,¥15.10,http://product.dangdang.com/22790547.html,"['所属分类：', '图书', '>', '旅游/地图', '>', '国外自助旅游指南', '>', '国外游(综合)']"
211,终身成长：重新定义成功的思维模式,285525,100%,江西人民出版社,[美]卡罗尔·德韦克（Carol Dweck) ， 译者：楚祎楠   后浪,2017/11/1,¥37.30,http://product.dangdang.com/25166912.html,"['所属分类：', '图书', '>', '心理学', '>', '心理百科']"
212,信谊世界精选图画书 抱抱,52136,100%,明天出版社,[英] 杰兹·阿波罗 著，[英] 杰兹 阿波罗，文图，上谊编辑部 编，上谊编辑部 绘,2017/11/1,¥27.00,http://product.dangdang.com/29122988.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '亲子共读']"
213,人生（2021版，茅盾文学奖得主路遥代表作，激励万千读者，堪称《...,104740,100%,北京十月文艺出版社,路遥  著 ，新经典  出品,2021/7/1,¥27.20,http://product.dangdang.com/29267111.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说']"
214,幼儿学古诗（绘本版，全2册）,191122,100%,教育科学出版社有限公司,中国教育科学研究院学前教育研究中心,2019/8/8,¥96.00,http://product.dangdang.com/27941877.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '平装图画书', '>', '中国原创', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '书', '>', '童书', '>', '古诗词']"
215,四五快读 全彩图升级版——幼儿快速识字阅读法（全8册）(让孩子爱...,473557,99.90%,湖南科技出版社,杨其铎　著,2012/2/1,¥116.20,http://product.dangdang.com/22745425.html,"['所属分类：', '图书', '>', '亲子/家教', '>', '素质教育', '图书', '>', '亲子/家教', '>', '0-6岁']"
216,小威向前冲,360063,99.90%,贵州人民出版社,[美]尼古拉斯·艾伦 著；漆仰平 译,2018/4/23,¥21.24,http://product.dangdang.com/25246337.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '品格培养']"
217,在峡江的转弯处：陈行甲人生笔记（南方周末、万圣书园2021十大好...,69272,100%,人民日报出版社,陈行甲,2021/1/26,¥48.00,http://product.dangdang.com/29180001.html,"['所属分类：', '图书', '>', '文学', '>', '中国现当代随笔']"
218,我爱阅读桥梁书·典藏版（蓝色+黄色+红色）：全90册合辑,140340,99.90%,长江少年儿童出版社,"纪蒂·波贝 等 著 ，安娜·威尔斯多夫 等 绘 ,周国强 等译 海豚传媒出品",2020/8/1,¥882.00,http://product.dangdang.com/28990428.html,"['所属分类：', '图书', '>', '童书', '>', '外国儿童文学', '>', '桥梁书', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '经典必读']"
219,树孩：赵丽宏全新力作（2021年度中国好书获奖图书）,1958,99.90%,长江文艺出版社,赵丽宏 著,2021/9/1,¥23.70,http://product.dangdang.com/29284522.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '成长/校园小说', '图书', '>', '童书', '>', '7-10岁', '>', '文学']"
220,这就是物理（函套10册）,206485,100%,北京理工大学出版社,约瑟夫·米森（Joseph Midthun） 萨缪·希提（Sam Hiti）,2019/7/1,¥89.00,http://product.dangdang.com/27909879.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '7-10岁', '>', '科普/百科', '图书', '>', '童书', '>', '科学认知']"
221,月亮与六便士（精装典藏版，未删节全译+详细详注+12幅高更画作+1...,104037,99.90%,时代文艺出版社,〔英〕毛姆 著 ；苏福忠 译,2019/6/1,¥33.80,http://product.dangdang.com/27874293.html,"['所属分类：', '图书', '>', '小说', '>', '世界名著', '>', '欧洲']"
222,月亮和六便士（毛姆代表作之一，全新导读+无删节详注版）,592925,99.90%,时代文艺出版社,〔英〕毛姆 著  苏福忠 译,2017/9/1,¥20.30,http://product.dangdang.com/25126128.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说', '图书', '>', '小说', '>', '外国小说', '>', '其他国家']"
223,钱穆谈中国历史文化：中国历史精神,122156,100%,贵州人民出版社,钱穆,2019/6/6,¥23.90,http://product.dangdang.com/27874588.html,"['所属分类：', '图书', '>', '历史', '>', '中国史', '>', '中国通史']"
224,病毒细菌小百科 1分钟儿童小百科,16497,100%,江苏凤凰科学技术出版社,介于童书 凤凰含章出品,2021/4/23,¥39.00,http://product.dangdang.com/29235822.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '百科', '图书', '>', '童书', '>', '7-10岁', '>', '科普/百科']"
225,小兔子学花钱系列（完整版·全4册）：3~7岁财商启蒙，学花钱、学...,156208,100%,河南文艺出版社,（加）辛德斯·麦克劳德 (Cinders McLeod)；读客文化 出品,2021/9/9,¥171.20,http://product.dangdang.com/29287731.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书']        "
226,人生的枷锁（又译《人性的枷锁》，毛姆自认的完美作品，写给在现...,87753,99.80%,作家出版社,[英]威廉·萨默赛特·毛姆 著，黄水乞 译,2016/9/1,¥44.50,http://product.dangdang.com/24025897.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说', '图书', '>', '小说', '>', '外国小说', '>', '英国']"
227,《素书》大成智慧,11651,99.90%,北京联合出版有限公司,兰彦岭,2021/3/1,¥29.90,http://product.dangdang.com/29201565.html,"['所属分类：', '图书', '>', '管理', '>', '一般管理学', '>', '管理学']"
228,双城记（狄更斯经典代表作，逝世150周年纪念版！翻译泰斗宋兆霖权...,48161,99.90%,台海出版社,（英）查尔斯·狄更斯著 宋兆霖译 知书达礼 出品,2020/7/1,¥47.30,http://product.dangdang.com/28990834.html,"['所属分类：', '图书', '>', '小说', '>', '世界名著', '>', '欧洲']"
229,心流：最优体验心理学,105126,100%,中信出版社,(美)米哈里·契克森米哈赖 著；张定绮 译,2017/12/1,¥28.50,http://product.dangdang.com/25183660.html,"['所属分类：', '图书', '>', '心理学', '>', '心理学理论与研究', '>', '其他心理学流派']"
230,世界博物馆奇妙之旅（全5册，为孩子打造的博物通识启蒙绘本，世界...,85945,100%,浙江教育出版社,徐晓燕 黄纷纷 蒋佳宁 著，布克布克 绘，小当当童书馆 出品,2019/8/1,¥54.00,http://product.dangdang.com/27907881.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '3-6岁', '>', '科普/百科', '图书', '>', '童书', '>', '艺术课堂']"
231,梁实秋：为这人间操碎了心（一本解闷宝书，文学泰斗梁实秋趣味散...,38815,100%,中国友谊出版公司,梁实秋 著  时代华语 出品,2020/10/1,¥41.10,http://product.dangdang.com/29129870.html,"['所属分类：', '图书', '>', '文学', '>', '中国现当代随笔']"
232,孩子没关系逆商培养图画书（全5册）,53072,100%,新疆青少年出版社,（韩）杨泰锡著,2016/3/1,¥102.60,http://product.dangdang.com/23940063.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '日韩', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '情绪管理']"
233,青铜葵花正版曹文轩纯美小说7-8-9-10-12岁草房子系列儿童文学校园...,455074,99.90%,江苏少年儿童出版社,曹文轩,2016/4/1,¥15.80,http://product.dangdang.com/23949032.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '童话故事', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '开学必备']"
234,理想国（商务印书馆汉译名著权威全译本，精装典藏版）,83371,100%,商务印书馆,柏拉图 著；郭斌和 张竹明 译,2020/6/1,¥66.60,http://product.dangdang.com/28989328.html,"['所属分类：', '图书', '>', '哲学/宗教', '>', '哲学', '>', '经典作品及研究']"
235,小学生思维方式漫画（用前人的经验优化自己的思维模式，让学习和...,5162,100%,海豚出版社,歪歪兔童书馆著绘,2021/11/1,¥98.00,http://product.dangdang.com/29354224.html,"['所属分类：', '图书', '>', '童书', '>', '动漫/卡通', '>', '漫画', '图书', '>', '童书', '>', '7-10岁', '>', '卡通/动漫/图画书']"
236,鱼没有脚（布克国际文学奖提名作品）,5055,100%,四川文艺出版社,约恩·卡尔曼·斯特凡松,2021/12/24,¥49.80,http://product.dangdang.com/29340454.html,"['所属分类：', '图书', '>', '小说', '>', '外国小说', '>', '美国']"
237,贪婪的多巴胺（爱情、欲望、精神、未来，是的，多巴胺都能做到！...,11466,100%,中信出版社,"丹尼尔·利伯曼,迈克尔·E. 朗",2021/9/1,¥38.40,http://product.dangdang.com/29291506.html,"['所属分类：', '图书', '>', '科普读物', '>', '百科知识', '>', '科普问答']"
238,那不勒斯四部曲（当当独家函套版，套装共4册，我的天才女友新名字...,101526,99.90%,人民文学出版社,【意】埃莱娜·费兰特,2018/7/1,¥243.10,http://product.dangdang.com/29166915.html,"['所属分类：', '图书', '>', '小说', '>', '外国小说', '>', '其他国家']"
239,科幻世界·三体(一),338241,99.90%,重庆出版社,刘慈欣，科幻世界出品,2008/1/1,¥13.50,http://product.dangdang.com/20989573.html,"['所属分类：', '图书', '>', '小说', '>', '科幻小说']"
240,戴老师高能唐诗课（2022“国民教授”戴建业高能开讲！）,8671,100%,北京联合出版有限公司,戴建业,2022/2/1,¥56.00,http://product.dangdang.com/29367978.html,"['所属分类：', '图书', '>', '文学', '>', '中国古诗词']"
241,午夜降临前抵达（李健、梁文道、麦家、许知远、俞敏洪推荐，不能...,20136,100%,文汇出版社,刘子超  著，新经典  出品,2021/8/1,¥40.70,http://product.dangdang.com/29276881.html,"['所属分类：', '图书', '>', '文学', '>', '中国现当代随笔']"
242,正是橙黄橘绿时（“中国好书奖”获得者肖复兴暖心新作，温暖你的...,5106,100%,北京联合出版有限公司,肖复兴著 华景时代  出品,2022/3/1,¥34.50,http://product.dangdang.com/29366402.html,"['所属分类：', '图书', '>', '文学', '>', '中国现当代随笔']"
243,被欺负了，可以打回去吗（解决父母的世纪难题，告诉孩子被欺负了...,26747,100%,新世界出版社,小杨叔叔,2021/7/1,¥37.20,http://product.dangdang.com/29265559.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '中国原创', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书']    "
244,这就是二十四节气：升级版 全四册(文津图书奖获奖图书，请认准正...,710226,99.90%,海豚出版社,高春香、邵敏/著；许明振、李婧/绘,2019/11/1,¥150.00,http://product.dangdang.com/27950672.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '中国原创', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '少儿国学']"
245,一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德...,198682,99.90%,时代文艺出版社,〔奥〕斯蒂芬·茨威格 著  高中甫 韩耀成 译,2017/9/1,¥18.70,http://product.dangdang.com/25126131.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说', '图书', '>', '小说', '>', '外国小说', '>', '其他国家']"
246,局外人（加缪作品）,101921,99.90%,上海译文出版社,[法]阿尔贝·加缪著 柳鸣九译,2013/8/1,¥21.60,http://product.dangdang.com/23323974.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说', '图书', '>', '小说', '>', '外国小说', '>', '法国']"
247,天堂旅行团（当当专享寄语印签环衬+精编小册子，继《全世界》《云...,80321,100%,湖南文艺出版社,"张嘉佳 著,博集天卷 出品",2021/8/1,¥33.10,http://product.dangdang.com/29288121.html,"['所属分类：', '图书', '>', '小说', '>', '中国当代小说']"
248,空间站全景立体书：繁星作伴好还乡【天宫课堂】送给孩子的礼物！...,2947,99.90%,化学工业出版社,汤波、史晓宁、顾璐琰  编著  派糖童书  编绘,2022/2/1,¥294.30,http://product.dangdang.com/29361709.html,"['所属分类：', '图书', '>', '童书', '>', '玩具书', '>', '立体书', '图书', '>', '童书', '>', '3-6岁', '>', '玩具书']"
249,干法（平装本）,114397,100%,机械工业出版社,[日] 稻盛和夫 著，曹岫云 译,2021/7/1,¥48.00,http://product.dangdang.com/29298908.html,"['所属分类：', '图书', '>', '管理', '>', '一般管理学', '>', '管理学']"
250,从零开始的女性主义,30399,100%,北京联合出版有限公司,[日]上野千鹤子、田房永子,2021/9/1,¥50.90,http://product.dangdang.com/29298862.html,"['所属分类：', '图书', '>', '社会科学', '>', '社会学', '>', '社会生活与社会问题']"
251,信谊幼儿文学奖-妈妈买绿豆,81450,100%,明天出版社,曾阳晴 著，万华国 绘,2019/8/1,¥21.10,http://product.dangdang.com/27924057.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '成长/校园小说', '图书', '>', '童书', '>', '3-6岁', '>', '文学', '图书', '>', '童书', '>', '开学必备']"
252,屁屁侦探番外篇+第二辑4册5册精装,8731,100%,二十一世纪出版社,(日) Troll 文/图，彭懿 译,2021/10/31,¥172.00,http://product.dangdang.com/29317495.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '日韩', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书']"
253,亲爱的小孩 牵你小手看世界,34701,100%,北京联合出版有限公司,乌恩、胡琦琦、伊 云/著,2020/8/1,¥58.70,http://product.dangdang.com/29117674.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '中国原创', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '哄睡神器']"
254,黄金时代（2021版，王小波成名代表作，当代文学经典！罗翔、肖战...,109038,100%,北京十月文艺出版社,王小波  著 ，新经典  出品,2021/6/1,¥40.70,http://product.dangdang.com/29255747.html,"['所属分类：', '图书', '>', '小说', '>', '中国当代小说']"
255,皮特猫·3~6岁好性格养成书：第三辑（共6册）（执著、坚持、梦想...,300182,100%,文汇出版社,金柏莉·迪安与詹姆斯·迪安 著 读客文化 出品,2018/6/3,¥139.90,http://product.dangdang.com/25280800.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '平装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '品格培养']"
256,米小圈上学记二年级（套装共4册）,406562,100%,四川少年儿童出版社,北猫,2018/4/1,¥98.00,http://product.dangdang.com/25261323.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '传统文化', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '快乐成长']"
257,学习高手（90后哈佛耶鲁高分毕业生超实用学习法）,160566,100%,北京联合出版有限公司,李柘远 著，磨铁图书 出品,2020/8/1,¥55.00,http://product.dangdang.com/29002852.html,"['所属分类：', '图书', '>', '成功/励志', '>', '成功/激励', '>', '成功法则']"
258,侦探与小偷 （以思辨的哲思方式讲述惊险刺激的侦探故事，让孩子再...,227269,100%,中译出版社（原中国对外翻译出版公司）,叶永烈 著，小当当童书馆 出品,2019/1/1,¥22.10,http://product.dangdang.com/26482585.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '侦探/冒险小说', '图书', '>', '童书', '>', '7-10岁', '>', '文学']"
259,瓦尔登湖（瓦尔登湖畔，不只是身体的栖息之所，更是精神的沉思之...,231465,99.50%,作家出版社,（美）亨利戴维梭罗,2015/12/1,¥21.30,http://product.dangdang.com/23828561.html,"['所属分类：', '图书', '>', '文学', '>', '外国随笔']"
260,老妓抄（新锐名译蕾克全新译本，独特选篇角度，精装典藏版）,564,100%,辽宁人民出版社,冈本加乃子 著，蕾克 译，一頁folio 出品,2022/2/1,¥61.80,http://product.dangdang.com/29373595.html,"['所属分类：', '图书', '>', '小说', '>', '外国小说', '>', '日本']"
261,地球上的爆笑生活：便便、树懒和你的一天（解锁科普学习新方式，...,6821,100%,中国友谊出版公司,[英] 迈克·巴菲尔德,2021/10/1,¥78.00,http://product.dangdang.com/29321350.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '3-6岁', '>', '科普/百科']"
262,亲密关系（第6版）,84101,99.90%,人民邮电出版社,罗兰·米勒 ， 新曲线 出品,2015/7/1,¥89.70,http://product.dangdang.com/23742958.html,"['所属分类：', '图书', '>', '心理学', '>', '心理百科']"
263,汀南丝雨【限量亲签版】,10032,100%,台海出版社,狄戈 著，酷威文化 出品,2022/1/1,¥29.80,http://product.dangdang.com/29338946.html,"['所属分类：', '图书', '>', '青春文学', '>', '青春爱情文学']"
264,皮特猫·3~6岁好性格养成书：共四辑（套装1~4辑）（乐观、自信、...,432970,100%,文汇出版社,"詹姆斯·迪安等 著；彭懿,余治莹等 译；读客文化 出品",2018/8/17,¥559.60,http://product.dangdang.com/25323113.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '平装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '品格培养']"
265,小巴掌童话注音版8册百篇张秋生著 小学生课外读本,274194,100%,山东科学技术出版社,张秋生,2018/4/18,¥82.80,http://product.dangdang.com/25309478.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '童话故事', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '开学必备']"
